Problem type,Algorithm,Dimension,Iterations,Converged,Residue,Abs error
Random,Gauss,14,1,True,1.3702149300113497e-14,2.0167897220655904e-14
Hilbert,Gauss,14,1,False,,
Hilbert,Seidel,14,10000,False,5.70852439099095e-07,0.03813048583499631
DiagDominant,Gauss,14,1,True,2.3832327871173822e-14,7.28021923224409e-16
DiagDominant,Jacobi,14,16,True,5.967482809785186e-08,1.7797894741153617e-09
DiagDominant,Seidel,14,11,True,3.752875115098059e-08,1.1016307273670796e-09
Random,Gauss,15,1,True,2.0355569028335622e-14,1.3632630101254608e-13
Hilbert,Gauss,15,1,False,,
Hilbert,Seidel,15,10000,False,4.4921946908385306e-07,0.044981936113202815
DiagDominant,Gauss,15,1,True,3.726117541341095e-14,9.61481343191782e-16
DiagDominant,Jacobi,15,19,True,5.1363406972086296e-08,1.5510930632633117e-09
DiagDominant,Seidel,15,13,True,2.0016883877580766e-08,5.073858618161791e-10
Random,Gauss,16,1,True,2.359948726320202e-14,2.1642230995786356e-15
Hilbert,Gauss,16,1,False,,
Hilbert,Seidel,16,10000,False,3.063100526185732e-07,0.05245470743392108
DiagDominant,Gauss,16,1,True,2.2469334198890888e-14,8.15843973306311e-16
DiagDominant,Jacobi,16,17,True,4.102401731686741e-08,9.704602952462446e-10
DiagDominant,Seidel,16,11,True,9.294056094844587e-09,2.0794364822267182e-10
Random,Gauss,17,1,True,2.4963976348422528e-14,1.1748971549120076e-14
Hilbert,Gauss,17,1,False,,
Hilbert,Seidel,17,10000,False,2.1433511882225975e-07,0.05888504109545
DiagDominant,Gauss,17,1,True,4.112563410810646e-14,1.0648885158809838e-15
DiagDominant,Jacobi,17,16,True,6.517236616918038e-08,1.458947698992955e-09
DiagDominant,Seidel,17,11,True,3.335533106314438e-08,8.367718034678214e-10
Random,Gauss,18,1,True,1.5434895314732314e-14,5.614041178501297e-15
Hilbert,Gauss,18,1,False,,
Hilbert,Seidel,18,10000,False,2.518121449118128e-07,0.06368114822938349
DiagDominant,Gauss,18,1,True,4.8452554668848276e-14,1.0934428697813141e-15
DiagDominant,Jacobi,18,16,True,8.13212338623088e-08,1.962863986353489e-09
DiagDominant,Seidel,18,11,True,4.8679972690528953e-08,1.0584130550599637e-09
Random,Gauss,19,1,True,2.0018524916993108e-14,1.843103977834127e-14
Hilbert,Gauss,19,1,False,,
Hilbert,Seidel,19,10000,False,3.6638156163260187e-07,0.06675050281845087
DiagDominant,Gauss,19,1,True,4.451537480371452e-14,1.0532500405730103e-15
DiagDominant,Jacobi,19,17,True,4.467039922675531e-08,9.974844194036144e-10
DiagDominant,Seidel,19,11,True,1.2125569847342141e-08,2.4279608695564585e-10
Random,Gauss,20,1,True,4.0407847782179213e-14,6.240994087105632e-15
Hilbert,Gauss,20,1,False,,
Hilbert,Seidel,20,10000,False,4.958716521112659e-07,0.06820584607795006
DiagDominant,Gauss,20,1,True,5.5038403647350507e-14,1.1957467920563633e-15
DiagDominant,Jacobi,20,16,True,8.045317859300857e-08,1.7695867090597683e-09
DiagDominant,Seidel,20,11,True,2.806119297994959e-08,6.022861294958027e-10
Random,Gauss,21,1,True,2.4307546523878914e-14,1.613303427493903e-14
Hilbert,Gauss,21,1,False,,
Hilbert,Seidel,21,10000,False,6.238345967284335e-07,0.06826008231626658
DiagDominant,Gauss,21,1,True,5.728578676879116e-14,9.28879225241625e-16
DiagDominant,Jacobi,21,16,True,6.434176167248222e-08,1.5439502158079839e-09
DiagDominant,Seidel,21,11,True,5.046185923871167e-09,1.1009587434472378e-10
Random,Gauss,22,1,True,2.523114643676257e-14,4.971270767759186e-15
Hilbert,Gauss,22,1,False,,
Hilbert,Seidel,22,10000,False,7.452922569570251e-07,0.0672031923568268
DiagDominant,Gauss,22,1,True,5.54951617168815e-14,9.28879225241625e-16
DiagDominant,Jacobi,22,15,True,6.214288525791539e-08,1.2563968297189388e-09
DiagDominant,Seidel,22,10,True,4.170473062517958e-08,8.416396247414056e-10
Random,Gauss,23,1,True,3.685689629828082e-14,1.7862863997977904e-14
Hilbert,Gauss,23,1,False,,
Hilbert,Seidel,23,10000,False,8.565306777838011e-07,0.06540270307253156
DiagDominant,Gauss,23,1,True,8.140289677804162e-14,1.5343587468447388e-15
DiagDominant,Jacobi,23,15,True,1.0546983654794521e-07,1.6495525257156594e-09
DiagDominant,Seidel,23,11,True,2.2629515922467183e-08,4.717696153116e-10
Random,Gauss,24,1,True,2.6107007145801953e-14,4.346916593445525e-15
Hilbert,Gauss,24,1,False,,
Hilbert,Seidel,24,10000,False,9.535088429226754e-07,0.06329987577079615
DiagDominant,Gauss,24,1,True,9.209686451197087e-14,1.3322676295501878e-15
DiagDominant,Jacobi,24,15,True,4.2761966316155714e-08,7.01863726913243e-10
DiagDominant,Seidel,24,10,True,2.921486456950779e-08,5.669800083883983e-10
Random,Gauss,25,1,True,3.92636145053937e-14,7.52580545885554e-15
Hilbert,Gauss,25,1,False,,
Hilbert,Seidel,25,10000,False,1.0321708345578198e-06,0.06138615392336157
DiagDominant,Gauss,25,1,True,1.2079226507921703e-13,1.7342238036525468e-15
DiagDominant,Jacobi,25,15,True,1.3465006256853205e-07,2.6064072115365526e-09
DiagDominant,Seidel,25,11,True,3.3297885954458474e-08,6.959600298371264e-10
Random,Gauss,26,1,True,4.83894242776484e-14,1.1898566324725155e-14
Hilbert,Gauss,26,1,False,,
Hilbert,Seidel,26,10000,False,1.0890468788044e-06,0.06014859132425491
DiagDominant,Gauss,26,1,True,9.453156263568069e-14,1.4936523181711914e-15
DiagDominant,Jacobi,26,15,True,6.311683533772578e-08,8.906201918977736e-10
DiagDominant,Seidel,26,10,True,5.528154032614313e-08,8.877884749040062e-10
Random,Gauss,27,1,True,3.679782254171932e-14,1.0254398737889611e-14
Hilbert,Gauss,27,1,False,,
Hilbert,Seidel,27,10000,False,1.1217255973054509e-06,0.05998375069637099
DiagDominant,Gauss,27,1,True,1.18896540830928e-13,1.9068706655153885e-15
DiagDominant,Jacobi,27,14,True,1.1629312093223538e-07,1.9574938503264104e-09
DiagDominant,Seidel,27,10,True,1.7388578242883418e-08,2.23618031719352e-10
Random,Gauss,28,1,True,3.3107736675958326e-14,4.7454729641766024e-15
Hilbert,Gauss,28,1,False,,
Hilbert,Seidel,28,10000,False,1.1291191191811483e-06,0.06110685094491993
DiagDominant,Gauss,28,1,True,1.0845964142784046e-13,1.6910413304902302e-15
DiagDominant,Jacobi,28,15,True,7.196982799878882e-08,9.392744660877081e-10
DiagDominant,Seidel,28,10,True,1.7993679405486106e-08,2.304427148766248e-10
Random,Gauss,29,1,True,7.160723346098895e-14,1.1143232783283533e-14
Hilbert,Gauss,29,1,False,,
Hilbert,Seidel,29,10000,False,1.111546609535731e-06,0.06350729014972402
DiagDominant,Gauss,29,1,True,1.014858018570358e-13,1.4812222630807097e-15
DiagDominant,Jacobi,29,14,True,1.4492309869366124e-07,1.6543709424253684e-09
DiagDominant,Seidel,29,10,True,3.544969645151293e-08,4.85015853683163e-10
Random,Gauss,30,1,True,3.5461156026402595e-14,2.944268760110706e-14
Hilbert,Gauss,30,1,False,,
Hilbert,Seidel,30,10000,False,1.0706925152357505e-06,0.06698186163031596
DiagDominant,Gauss,30,1,True,1.3101760682293512e-13,2.0045598609095038e-15
DiagDominant,Jacobi,30,14,True,4.4281133924821665e-08,5.437732891150867e-10
DiagDominant,Seidel,30,10,True,4.8289622452803706e-08,6.871720067013616e-10
Random,Gauss,31,1,True,4.984097702233541e-14,2.0090435847362505e-14
Hilbert,Gauss,31,1,False,,
Hilbert,Seidel,31,10000,False,1.009505685552632e-06,0.07122095518642821
DiagDominant,Gauss,31,1,True,1.0961719440090798e-13,1.683736582170148e-15
DiagDominant,Jacobi,31,14,True,1.5237683325649708e-07,2.1878709485094876e-09
DiagDominant,Seidel,31,10,True,2.6881790878787112e-08,3.698263985288899e-10
Random,Gauss,32,1,True,7.118599047504695e-14,1.4201310531088647e-14
Hilbert,Gauss,32,1,False,,
Hilbert,Seidel,32,10000,False,9.32113368151868e-07,0.07589500323556411
DiagDominant,Gauss,32,1,True,1.4264045873264828e-13,1.8544380573903915e-15
DiagDominant,Jacobi,32,15,True,6.020282613537337e-08,9.11024445851005e-10
DiagDominant,Seidel,32,10,True,1.476021341962979e-08,1.837277269459229e-10
Random,Gauss,33,1,True,7.899047619710615e-14,2.4404207250770834e-14
Hilbert,Gauss,33,1,False,,
Hilbert,Seidel,33,10000,False,8.438370842218879e-07,0.08070946499169565
DiagDominant,Gauss,33,1,True,1.4527080552014746e-13,2.123981709368671e-15
DiagDominant,Jacobi,33,14,True,4.533872611831421e-08,5.261248581002421e-10
DiagDominant,Seidel,33,10,True,1.4980300695531293e-08,1.9045805011676567e-10
Random,Gauss,34,1,True,4.0846552052069704e-14,2.7529277811743534e-14
Hilbert,Gauss,34,1,False,,
Hilbert,Seidel,34,10000,False,7.514114644434131e-07,0.08542746049635959
DiagDominant,Gauss,34,1,True,1.8254173395838975e-13,2.3048828947687888e-15
DiagDominant,Jacobi,34,13,True,1.398855946603447e-07,1.8625808958523713e-09
DiagDominant,Seidel,34,10,True,3.060760103613802e-08,3.798422777561877e-10
Random,Gauss,35,1,True,5.697164377593342e-14,8.310462452593601e-14
Hilbert,Gauss,35,1,False,,
Hilbert,Seidel,35,10000,False,6.634729934591367e-07,0.08987217939232033
DiagDominant,Gauss,35,1,True,1.8157112917806213e-13,1.8511117084211232e-15
DiagDominant,Jacobi,35,13,True,1.1554709685296915e-07,1.2900018311650756e-09
DiagDominant,Seidel,35,10,True,1.0968052690247591e-08,1.1990060585544773e-10
Random,Gauss,36,1,True,6.373299070959691e-14,1.0994571741249224e-14
Hilbert,Gauss,36,1,False,,
Hilbert,Seidel,36,10000,False,5.910915064665461e-07,0.09392015222213805
DiagDominant,Gauss,36,1,True,1.7462590630322705e-13,2.2589696723613665e-15
DiagDominant,Jacobi,36,14,True,3.425258864698687e-08,4.0752892218280684e-10
DiagDominant,Seidel,36,10,True,1.5734738658683112e-08,1.680000764452831e-10
Random,Gauss,37,1,True,5.26353445807681e-14,9.301774220101196e-14
Hilbert,Gauss,37,1,False,,
Hilbert,Seidel,37,10000,False,5.471159163190756e-07,0.09749183529660094
DiagDominant,Gauss,37,1,True,1.928963223533945e-13,2.2176687547934757e-15
DiagDominant,Jacobi,37,14,True,3.194927471641158e-08,3.5788123619215935e-10
DiagDominant,Seidel,37,10,True,7.995891605740193e-09,8.330794098793162e-11
Random,Gauss,38,1,True,1.3008706368736726e-13,1.7415439789275533e-13
Hilbert,Gauss,38,1,False,,
Hilbert,Seidel,38,10000,False,5.420453129166233e-07,0.10054243944911403
DiagDominant,Gauss,38,1,True,2.2334111300639437e-13,2.275280134513746e-15
DiagDominant,Jacobi,38,13,True,1.1797965371323889e-07,1.2990656751882624e-09
DiagDominant,Seidel,38,10,True,3.1637251305422304e-08,3.4689847203049164e-10
Random,Gauss,39,1,True,8.405378199200428e-14,2.92256590195679e-14
Hilbert,Gauss,39,1,False,,
Hilbert,Seidel,39,10000,False,5.776240933957642e-07,0.1030540488709247
DiagDominant,Gauss,39,1,True,2.2356705248046572e-13,2.032041781255059e-15
DiagDominant,Jacobi,39,13,True,1.0277792124188797e-07,9.889972684390337e-10
DiagDominant,Seidel,39,10,True,8.8928371652978e-09,1.0193579233137102e-10
Random,Gauss,40,1,True,8.727454652051468e-14,2.105124555601277e-14
Hilbert,Gauss,40,1,False,,
Hilbert,Seidel,40,10000,False,6.459921033104972e-07,0.10502924151280348
DiagDominant,Gauss,40,1,True,2.1375411956357942e-13,2.1784148785229476e-15
DiagDominant,Jacobi,40,13,True,1.7493086849444483e-07,1.7946740521744116e-09
DiagDominant,Seidel,40,10,True,1.3602126461298681e-08,1.302771239807192e-10
Random,Gauss,41,1,True,1.090887766257903e-13,3.1217805283828837e-14
Hilbert,Gauss,41,1,False,,
Hilbert,Seidel,41,10000,False,7.358639444440481e-07,0.10648610071474476
DiagDominant,Gauss,41,1,True,2.0009065111038244e-13,1.8676842118715256e-15
DiagDominant,Jacobi,41,13,True,1.4584719012195636e-07,1.252518553832253e-09
DiagDominant,Seidel,41,10,True,7.160888035370781e-09,6.798161222183851e-11
Random,Gauss,42,1,True,1.021144488328544e-13,1.764228576615402e-13
Hilbert,Gauss,42,1,False,,
Hilbert,Seidel,42,10000,False,8.377119077163086e-07,0.10745440747121532
DiagDominant,Gauss,42,1,True,2.2469334198890886e-13,2.198129442157285e-15
DiagDominant,Jacobi,42,13,True,6.122916105727809e-08,6.054741252008951e-10
DiagDominant,Seidel,42,10,True,8.830486447843997e-09,9.016834100409854e-11
Random,Gauss,43,1,True,1.2310806517489453e-13,9.036963093511492e-14
Hilbert,Gauss,43,1,False,,
Hilbert,Seidel,43,10000,False,9.449598755868676e-07,0.10797278893553085
DiagDominant,Gauss,43,1,True,1.8433072698190993e-13,1.6764000044290905e-15
DiagDominant,Jacobi,43,13,True,4.3955019432340666e-08,4.040952641333317e-10
DiagDominant,Seidel,43,10,True,8.857671038777412e-09,7.905693961273633e-11
Random,Gauss,44,1,True,2.0488256755668716e-13,2.1557678213684552e-13
Hilbert,Gauss,44,1,False,,
Hilbert,Seidel,44,10000,False,1.0533631473470105e-06,0.1080866144293286
DiagDominant,Gauss,44,1,True,3.024609420349515e-13,2.5823128856601336e-15
DiagDominant,Jacobi,44,13,True,4.447634377999035e-08,4.023455400270183e-10
DiagDominant,Seidel,44,10,True,1.3683693333978669e-08,1.2169498801463053e-10
Random,Gauss,45,1,True,1.441861307345285e-13,3.699775544448377e-14
Hilbert,Gauss,45,1,False,,
Hilbert,Seidel,45,10000,False,1.1602025449300916e-06,0.10784645387512293
DiagDominant,Gauss,45,1,True,2.984279490192421e-13,2.462593796972316e-15
DiagDominant,Jacobi,45,13,True,6.096647072091913e-08,5.363764159897951e-10
DiagDominant,Seidel,45,9,True,7.110985971004292e-08,6.312115185870415e-10
Random,Gauss,46,1,True,1.0730062866405148e-13,1.511412788816157e-14
Hilbert,Gauss,46,1,False,,
Hilbert,Seidel,46,10000,False,1.2637059125065923e-06,0.1073069379108028
DiagDominant,Gauss,46,1,True,2.481819080425819e-13,2.460089888041177e-15
DiagDominant,Jacobi,46,13,True,4.540585526163485e-08,3.9490394358010177e-10
DiagDominant,Seidel,46,10,True,9.25974048981777e-09,7.99460083177269e-11
Random,Gauss,47,1,True,1.7513901052638506e-13,4.4896957893224687e-14
Hilbert,Gauss,47,1,False,,
Hilbert,Seidel,47,10000,False,1.3626853078050068e-06,0.10652587792860321
DiagDominant,Gauss,47,1,True,3.8631575361785584e-13,3.367473164340296e-15
DiagDominant,Jacobi,47,13,True,4.9325740678610283e-08,4.050610784534294e-10
DiagDominant,Seidel,47,10,True,8.070976766890371e-09,6.608762186174706e-11
Random,Gauss,48,1,True,1.254864413375773e-13,1.3802532688274075e-14
Hilbert,Gauss,48,1,False,,
Hilbert,Seidel,48,10000,False,1.4563163638161917e-06,0.10556352358732589
DiagDominant,Gauss,48,1,True,2.991038908795813e-13,2.401779625492033e-15
DiagDominant,Jacobi,48,12,True,1.8605871813080412e-07,1.5554752501082563e-09
DiagDominant,Seidel,48,9,True,2.6734898513369965e-08,2.077686975037349e-10
Random,Gauss,49,1,True,1.434586872276638e-13,1.492703010883289e-14
Hilbert,Gauss,49,1,False,,
Hilbert,Seidel,49,10000,False,1.5440041433854293e-06,0.10448184770266898
DiagDominant,Gauss,49,1,True,3.89439651543305e-13,3.014005036771789e-15
DiagDominant,Jacobi,49,13,True,3.5441113484536574e-08,2.505691055417292e-10
DiagDominant,Seidel,49,9,True,5.872846721195701e-08,4.5147580137951106e-10
Random,Gauss,50,1,True,9.441570549555693e-14,4.8485233045848706e-14
Hilbert,Gauss,50,1,False,,
Hilbert,Seidel,50,10000,False,1.6253013400966294e-06,0.10334376276720554
DiagDominant,Gauss,50,1,True,2.898457019905882e-13,2.2507701183630873e-15
DiagDominant,Jacobi,50,13,True,4.331487164586868e-08,3.250432931966936e-10
DiagDominant,Seidel,50,10,True,1.5701943871585748e-08,1.2618519830812458e-10
